game_id,name,platform,platform_type,genre,sub_genres,release_date,release_year,developer,publisher,metacritic_score,user_rating,downloads_or_sales,popularity_score,playtime_avg,search_count,play_count,recent_trend,suggestions_count,age_rating,release_decade,log_sales,popularity_normalized,rating_category,sales_category,genre_action,genre_sports,genre_misc,genre_role-playing,genre_adventure,genre_shooter,genre_racing,genre_simulation,platform_ps2,platform_ds,platform_ps,platform_wii,platform_pc,platform_psp
vg_0,Wii Sports,WII,Console,Sports,Sports,,2006,Nintendo,Nintendo,60,3.7032722019674646,82740000.0,0.5540639186325238,30.0,2054,240706,Stable,79,T,2000,18.231213731083592,0.03317916222883344,Good,Very High,0,1,0,0,0,0,0,0,0,0,0,1,0,0
vg_1,Super Mario Bros.,NES,PC,Platform,Platform,,1985,Nintendo,Nintendo,76,4.299926563933058,40240000.0,0.9640551689978326,37.0,38752,293923,Declining,407,E10+,1980,17.510372108606653,1.5608136308445744,Excellent,Very High,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vg_2,Mario Kart Wii,WII,Console,Racing,Racing,,2008,Nintendo,Nintendo,74,3.9662361671485864,35820000.0,0.12312804721758938,35.0,40644,469541,Rising,748,E10+,2000,17.394016982514206,-1.5724953255799856,Good,Very High,0,0,0,0,0,0,1,0,0,0,0,1,0,0
vg_3,Wii Sports Resort,WII,Console,Sports,Sports,,2009,Nintendo,Nintendo,69,4.656926505945426,33000000.0,0.43579432097126547,36.0,34459,470726,Declining,924,T,2000,17.312018149733785,-0.4074953980591521,Excellent,Very High,0,1,0,0,0,0,0,0,0,0,0,1,0,0
vg_4,Pokemon Red/Pokemon Blue,GB,PC,Role-Playing,Role-Playing,,1996,Nintendo,Nintendo,89,3.8111002000110155,31370000.0,0.6455967686929359,5.0,44927,289824,Declining,188,T,1990,17.26136261204445,0.37423213991636284,Good,Very High,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vg_5,Tetris,GB,PC,Puzzle,Puzzle,,1989,Nintendo,Nintendo,88,3.6955700990562996,30260000.0,0.3353960532782272,51.0,14426,495991,Declining,686,T,1980,17.22533729937141,-0.7815810747181994,Good,Very High,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vg_6,New Super Mario Bros.,DS,Console,Platform,Platform,,2006,Nintendo,Nintendo,61,4.260434114778868,30010000.0,0.18861498962144557,90.0,21962,236600,Rising,381,E10+,2000,17.217041250738774,-1.3284898489478696,Excellent,Very High,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vg_7,Wii Play,WII,Console,Misc,Misc,,2006,Nintendo,Nintendo,65,4.364707225934112,29020000.0,0.4486261592727109,23.0,21501,143497,Stable,426,E,2000,17.18349583987931,-0.359683747279957,Excellent,Very High,0,0,1,0,0,0,0,0,0,0,0,1,0,0
vg_8,New Super Mario Bros. Wii,WII,Console,Platform,Platform,,2009,Nintendo,Nintendo,72,4.768881553791008,28620000.0,0.4791558364680526,39.0,27550,157856,Rising,987,T,2000,17.16961636703318,-0.24592964360637723,Excellent,Very High,0,0,0,0,0,0,0,0,0,0,0,1,0,0
vg_9,Duck Hunt,NES,PC,Shooter,Shooter,,1984,Nintendo,Nintendo,62,3.897425744930637,28310000.0,0.2200714791708045,26.0,8795,407003,Stable,702,T,1980,17.158725692411288,-1.2112824264615734,Good,Very High,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vg_10,Nintendogs,DS,Console,Simulation,Simulation,,2005,Nintendo,Nintendo,71,4.77388577352513,24760000.0,0.7701553423101224,90.0,36294,102981,Stable,249,M,2000,17.02474004616839,0.8383395330611746,Excellent,Very High,0,0,0,0,0,0,0,1,0,1,0,0,0,0
